username,recording_file
urbansound8k,fold5/100263-2-0-117.wav
urbansound8k,fold5/100263-2-0-121.wav
urbansound8k,fold5/100263-2-0-126.wav
urbansound8k,fold5/100263-2-0-137.wav
urbansound8k,fold5/100263-2-0-143.wav
urbansound8k,fold5/100263-2-0-161.wav
urbansound8k,fold5/100263-2-0-3.wav
urbansound8k,fold5/100263-2-0-36.wav
urbansound8k,fold2/100652-3-0-0.wav
urbansound8k,fold2/100652-3-0-1.wav
urbansound8k,fold2/100652-3-0-2.wav
urbansound8k,fold2/100652-3-0-3.wav
urbansound8k,fold10/100795-3-0-0.wav
urbansound8k,fold10/100795-3-1-0.wav
urbansound8k,fold10/100795-3-1-1.wav
urbansound8k,fold10/100795-3-1-2.wav
urbansound8k,fold5/100852-0-0-0.wav
urbansound8k,fold5/100852-0-0-1.wav
urbansound8k,fold5/100852-0-0-10.wav
urbansound8k,fold5/100852-0-0-11.wav
urbansound8k,fold5/100852-0-0-12.wav
urbansound8k,fold5/100852-0-0-13.wav
urbansound8k,fold5/100852-0-0-14.wav
urbansound8k,fold5/100852-0-0-15.wav
urbansound8k,fold5/100852-0-0-16.wav
urbansound8k,fold5/100852-0-0-17.wav
urbansound8k,fold5/100852-0-0-18.wav
urbansound8k,fold5/100852-0-0-19.wav
urbansound8k,fold5/100852-0-0-2.wav
urbansound8k,fold5/100852-0-0-20.wav
urbansound8k,fold5/100852-0-0-21.wav
urbansound8k,fold5/100852-0-0-22.wav
urbansound8k,fold5/100852-0-0-23.wav
urbansound8k,fold5/100852-0-0-24.wav
urbansound8k,fold5/100852-0-0-25.wav
urbansound8k,fold5/100852-0-0-26.wav
urbansound8k,fold5/100852-0-0-27.wav
urbansound8k,fold5/100852-0-0-28.wav
urbansound8k,fold5/100852-0-0-29.wav
urbansound8k,fold5/100852-0-0-3.wav
urbansound8k,fold5/100852-0-0-30.wav
urbansound8k,fold5/100852-0-0-4.wav
urbansound8k,fold5/100852-0-0-5.wav
urbansound8k,fold5/100852-0-0-6.wav
urbansound8k,fold5/100852-0-0-7.wav
urbansound8k,fold5/100852-0-0-8.wav
urbansound8k,fold5/100852-0-0-9.wav
urbansound8k,fold6/101281-3-0-14.wav
urbansound8k,fold6/101281-3-0-5.wav
urbansound8k,fold10/101382-2-0-10.wav
urbansound8k,fold10/101382-2-0-12.wav
urbansound8k,fold10/101382-2-0-20.wav
urbansound8k,fold10/101382-2-0-21.wav
urbansound8k,fold10/101382-2-0-29.wav
urbansound8k,fold10/101382-2-0-33.wav
urbansound8k,fold10/101382-2-0-42.wav
urbansound8k,fold10/101382-2-0-45.wav
urbansound8k,fold1/101415-3-0-2.wav
urbansound8k,fold1/101415-3-0-3.wav
urbansound8k,fold1/101415-3-0-8.wav
urbansound8k,fold9/101729-0-0-1.wav
urbansound8k,fold9/101729-0-0-11.wav
urbansound8k,fold9/101729-0-0-12.wav
urbansound8k,fold9/101729-0-0-13.wav
urbansound8k,fold9/101729-0-0-14.wav
urbansound8k,fold9/101729-0-0-16.wav
urbansound8k,fold9/101729-0-0-17.wav
urbansound8k,fold9/101729-0-0-18.wav
urbansound8k,fold9/101729-0-0-19.wav
urbansound8k,fold9/101729-0-0-21.wav
urbansound8k,fold9/101729-0-0-22.wav
urbansound8k,fold9/101729-0-0-23.wav
urbansound8k,fold9/101729-0-0-24.wav
urbansound8k,fold9/101729-0-0-26.wav
urbansound8k,fold9/101729-0-0-28.wav
urbansound8k,fold9/101729-0-0-29.wav
urbansound8k,fold9/101729-0-0-3.wav
urbansound8k,fold9/101729-0-0-32.wav
urbansound8k,fold9/101729-0-0-33.wav
urbansound8k,fold9/101729-0-0-36.wav
urbansound8k,fold9/101729-0-0-37.wav
urbansound8k,fold9/101729-0-0-38.wav
urbansound8k,fold9/101729-0-0-39.wav
urbansound8k,fold9/101729-0-0-4.wav
urbansound8k,fold9/101729-0-0-40.wav
urbansound8k,fold9/101729-0-0-6.wav
urbansound8k,fold9/101729-0-0-9.wav
urbansound8k,fold7/101848-9-0-0.wav
urbansound8k,fold7/101848-9-0-1.wav
urbansound8k,fold7/101848-9-0-2.wav
urbansound8k,fold7/101848-9-0-3.wav
urbansound8k,fold7/101848-9-0-8.wav
urbansound8k,fold7/101848-9-0-9.wav
urbansound8k,fold5/102547-3-0-2.wav
urbansound8k,fold5/102547-3-0-7.wav
urbansound8k,fold5/102547-3-0-8.wav
urbansound8k,fold1/102842-3-0-1.wav
urbansound8k,fold1/102842-3-1-0.wav
urbansound8k,fold1/102842-3-1-5.wav
urbansound8k,fold1/102842-3-1-6.wav
urbansound8k,fold7/102853-8-0-0.wav
urbansound8k,fold7/102853-8-0-1.wav
urbansound8k,fold7/102853-8-0-2.wav
urbansound8k,fold7/102853-8-0-3.wav
urbansound8k,fold7/102853-8-0-4.wav
urbansound8k,fold7/102853-8-0-5.wav
urbansound8k,fold7/102853-8-0-6.wav
urbansound8k,fold7/102853-8-1-0.wav
urbansound8k,fold10/102857-5-0-0.wav
urbansound8k,fold10/102857-5-0-1.wav
urbansound8k,fold10/102857-5-0-10.wav
urbansound8k,fold10/102857-5-0-11.wav
urbansound8k,fold10/102857-5-0-12.wav
urbansound8k,fold10/102857-5-0-13.wav
urbansound8k,fold10/102857-5-0-14.wav
urbansound8k,fold10/102857-5-0-15.wav
urbansound8k,fold10/102857-5-0-16.wav
urbansound8k,fold10/102857-5-0-17.wav
urbansound8k,fold10/102857-5-0-18.wav
urbansound8k,fold10/102857-5-0-19.wav
urbansound8k,fold10/102857-5-0-2.wav
urbansound8k,fold10/102857-5-0-20.wav
urbansound8k,fold10/102857-5-0-21.wav
urbansound8k,fold10/102857-5-0-22.wav
urbansound8k,fold10/102857-5-0-23.wav
urbansound8k,fold10/102857-5-0-24.wav
urbansound8k,fold10/102857-5-0-25.wav
urbansound8k,fold10/102857-5-0-26.wav
urbansound8k,fold10/102857-5-0-27.wav
urbansound8k,fold10/102857-5-0-28.wav
urbansound8k,fold10/102857-5-0-29.wav
urbansound8k,fold10/102857-5-0-3.wav
urbansound8k,fold10/102857-5-0-30.wav
urbansound8k,fold10/102857-5-0-4.wav
urbansound8k,fold10/102857-5-0-5.wav
urbansound8k,fold10/102857-5-0-6.wav
